species,phylogroup
Lactobacillus floricola,Holzapfelia
Lactobacillus florum,Fructilactobacillus
Lactobacillus formosensis,Companilactobacillus
Lactobacillus fructivorans,Fructilactobacillus
Lactobacillus frumenti,Limosilactobacillus
Lactobacillus fuchuensis,Latilactobacillus
Lactobacillus futsaii,Companilactobacillus
Lactobacillus gallinarum,Lactobacillus
Lactobacillus gasseri,Lactobacillus
Lactobacillus gastricus,Limosilactobacillus
Lactobacillus ghanensis,Liquorilactobacillus
Lactobacillus gigeriorum,Lactobacillus
Lactobacillus ginsenosidimutans,Companilactobacillus
Lactobacillus gorillae,Limosilactobacillus
Lactobacillus graminis,Latilactobacillus
Lactobacillus hammesii,Levilactobacillus
Lactobacillus hamsteri,Lactobacillus
Lactobacillus harbinensis,Schleiferilactobacillus
Lactobacillus hayakitensis,Ligilactobacillus
Lactobacillus heilongjiangensis,Companilactobacillus
Lactobacillus helsingborgensis,Lactobacillus
Lactobacillus helveticus,Lactobacillus
Lactobacillus herbarum,Lactiplantibacillus
Lactobacillus hilgardii,Lentilactobacillus
Lactobacillus hokkaidonensis,Paucilactobacillus
Lactobacillus hominis,Lactobacillus
Lactobacillus hordei,Liquorilactobacillus
Lactobacillus iners,Lactobacillus
Lactobacillus ingluviei,Limosilactobacillus
Lactobacillus intestinalis,Lactobacillus
Lactobacillus jensenii,Lactobacillus
Lactobacillus johnsonii,Lactobacillus
Lactobacillus kalixensis,Lactobacillus
Lactobacillus kefiranofaciens,Lactobacillus
Lactobacillus kefiri,Lentilactobacillus
Lactobacillus kimbladii,Lactobacillus
Lactobacillus kimchicus,Secundilactobacillus
Lactobacillus kimchiensis,Companilactobacillus
Lactobacillus kimchii,Companilactobacillus
Lactobacillus kisonensis,Lentilactobacillus
Lactobacillus kitasatonis,Lactobacillus
Lactobacillus koreensis,Levilactobacillus
Lactobacillus kullabergensis,Lactobacillus
Lactobacillus kunkeei,Apilactobacillus
Lactobacillus lindneri,Fructilactobacillus
Lactobacillus malefermentans,Secundilactobacillus
Lactobacillus mali,Liquorilactobacillus
Lactobacillus manihotivorans,Lacticaseibacillus
Lactobacillus mellifer,Bombilactobacillus
Lactobacillus mellis,Bombilactobacillus
Lactobacillus melliventris,Lactobacillus
Lactobacillus metriopterae,Companilactobacillus
Lactobacillus mindensis,Companilactobacillus
Lactobacillus mixtipabuli,Secundilactobacillus
Lactobacillus mucosae,Limosilactobacillus
Lactobacillus murinus,Ligilactobacillus
Lactobacillus musae,Companilactobacillus
Lactobacillus nagelii,Liquorilactobacillus
Lactobacillus namurensis,Levilactobacillus
Lactobacillus nantensis,Companilactobacillus
Lactobacillus nasuensis,Lacticaseibacillus
Lactobacillus nodensis,Companilactobacillus
Lactobacillus nuruki,Companilactobacillus
Lactobacillus odoratitofui,Secundilactobacillus
Lactobacillus oeni,Liquorilactobacillus
Lactobacillus oligofermentans,Paucilactobacillus
Lactobacillus oris,Limosilactobacillus
Lactobacillus oryzae,Secundilactobacillus
Lactobacillus otakiensis,Lentilactobacillus
Lactobacillus ozensis,Apilactobacillus
Lactobacillus panis,Limosilactobacillus
Lactobacillus panisapium,Lactobacillus
Lactobacillus pantheris,Lacticaseibacillus
Lactobacillus parabrevis,Levilactobacillus
Lactobacillus parabuchneri,Lentilactobacillus
Lactobacillus paracasei,Lacticaseibacillus
Lactobacillus paracollinoides,Secundilactobacillus
Lactobacillus parafarraginis,Lentilactobacillus
Lactobacillus parakefiri,Lentilactobacillus
Lactobacillus paralimentarius,Companilactobacillus
Lactobacillus paraplantarum,Lactiplantibacillus
Lactobacillus pasteurii,Lactobacillus
Lactobacillus paucivorans,Levilactobacillus
Lactobacillus pentosiphilus,Secundilactobacillus
Lactobacillus pentosus,Lactiplantibacillus
Lactobacillus perolens,Schleiferilactobacillus
Lactobacillus plantarum,Lactiplantibacillus
Lactobacillus pobuzihii,Ligilactobacillus
Lactobacillus pontis,Limosilactobacillus
Lactobacillus psittaci,Lactobacillus
Lactobacillus quenuiae,Apilactobacillus
Lactobacillus raoultii,Lentilactobacillus
Lactobacillus rapi,Lentilactobacillus
Lactobacillus rennini,Loigolactobacillus
Lactobacillus reuteri,Limosilactobacillus
Lactobacillus rhamnosus,Lacticaseibacillus
Lactobacillus rodentium,Lactobacillus
Lactobacillus rossiae,Furfurilactobacillus
Lactobacillus ruminis,Ligilactobacillus
Lactobacillus saerimneri,Ligilactobacillus
Lactobacillus sakei,Latilactobacillus
Lactobacillus salivarius,Ligilactobacillus
Lactobacillus sanfranciscensis,Fructilactobacillus
Lactobacillus saniviri,Lacticaseibacillus
Lactobacillus satsumensis,Liquorilactobacillus
Lactobacillus secaliphilus,Limosilactobacillus
Lactobacillus selangorensis,Paralactobacillus
Lactobacillus senioris,Lentilactobacillus
Lactobacillus senmaizukei,Levilactobacillus
Lactobacillus sharpeae,Lacticaseibacillus
Lactobacillus shenzhenensis,Schleiferilactobacillus
Lactobacillus silagei,Secundilactobacillus
Lactobacillus silagincola,Secundilactobacillus
Lactobacillus siliginis,Furfurilactobacillus
Lactobacillus similis,Secundilactobacillus
Lactobacillus spicheri,Levilactobacillus
Lactobacillus sucicola,Liquorilactobacillus
Lactobacillus suebicus,Paucilactobacillus
Lactobacillus sunkii,Lentilactobacillus
Lactobacillus taiwanensis,Lactobacillus
Lactobacillus thailandensis,Lacticaseibacillus
Lactobacillus timberlakei,Apilactobacillus
'Lactobacillus timonensis',Limosilactobacillus
Lactobacillus tucceti,Companilactobacillus
Lactobacillus ultunensis,Lactobacillus
Lactobacillus uvarum,Liquorilactobacillus
Lactobacillus vaccinostercus,Paucilactobacillus
Lactobacillus vaginalis,Limosilactobacillus
Lactobacillus versmoldensis,Companilactobacillus
Lactobacillus vini,Liquorilactobacillus
Lactobacillus wasatchensis,Paucilactobacillus
Lactobacillus xiangfangensis,Lactiplantibacillus
Lactobacillus zymae,Levilactobacillus
Lactococcus lactis,no phylogroup
Lactobacillus rogosae,Rogosae
Lactobacillus paragasseri,Lactobacillus
